Gene,Entity_type,N_regions,Total_bases,Mean_coverage,Median_coverage,Min_region_coverage,Low_regions_any,Recurrent_low_regions,Est_pct_bases_ge20,Est_pct_bases_low20,Default_status
LOC107986777,Non-coding/other,6,525.0,124.89,133.32,83.53,0,0,1.0,0.0,OK
LOC107986819,Non-coding/other,1,23.0,116.0,116.0,116.0,0,0,1.0,0.0,OK
LOC107986860,Non-coding/other,2,609.0,239.47,239.47,172.65,0,0,1.0,0.0,OK
LOC107986908,Non-coding/other,4,645.0,219.28,211.74,111.29,0,0,1.0,0.0,OK
LOC107986910,Non-coding/other,1,241.0,12.41,12.41,12.41,1,1,0.24,0.76,FAIL
LOC107986985,Non-coding/other,1,11.0,104.41,104.41,104.41,0,0,1.0,0.0,OK
LOC107987243,Non-coding/other,3,280.0,88.29,89.82,73.0,0,0,1.0,0.0,OK
LOC107987269,Non-coding/other,3,746.0,144.51,159.18,89.35,0,0,1.0,0.0,OK
LOC107987288,Non-coding/other,3,1017.0,238.2,234.65,181.0,0,0,1.0,0.0,OK
LOC112267855,Non-coding/other,7,684.0,47.84,43.65,26.35,1,0,0.98,0.02,WARNING
LOC112267859,Non-coding/other,1,147.0,0.41,0.41,0.41,1,1,0.0,1.0,FAIL
LOC112267879,Non-coding/other,1,11.0,163.41,163.41,163.41,0,0,1.0,0.0,OK
LOC112267897,Non-coding/other,1,390.0,608.82,608.82,608.82,0,0,1.0,0.0,OK
LOC112267902,Non-coding/other,1,1.0,43.41,43.41,43.41,1,0,0.94,0.06,WARNING
LOC112267917,Non-coding/other,1,29.0,122.82,122.82,122.82,0,0,1.0,0.0,OK
LOC112267968,Non-coding/other,3,323.0,46.63,51.88,35.12,0,0,1.0,0.0,WARNING
LOC112267992,Non-coding/other,1,336.0,75.0,75.0,75.0,0,0,1.0,0.0,OK
LOC112268080,Non-coding/other,1,177.0,112.35,112.35,112.35,0,0,1.0,0.0,OK
LOC112268102,Non-coding/other,2,915.0,162.71,162.71,156.0,0,0,1.0,0.0,OK
LOC112268119,Non-coding/other,1,70.0,70.59,70.59,70.59,0,0,1.0,0.0,OK
LOC112268127,Non-coding/other,1,58.0,170.71,170.71,170.71,0,0,1.0,0.0,OK
LOC112268136,Non-coding/other,4,552.0,88.38,86.44,64.65,0,0,1.0,0.0,OK
LOC112268145,Non-coding/other,9,1383.0,61.42,30.0,0.53,6,5,0.65,0.35,WARNING
LOC112268260,Non-coding/other,3,410.0,15.1,0.0,0.0,3,3,0.08,0.92,FAIL
LOC112268270,Non-coding/other,1,23.0,37.29,37.29,37.29,1,0,0.94,0.06,FAIL
LOC112268271,Non-coding/other,1,861.0,226.29,226.29,226.29,0,0,1.0,0.0,OK
LOC112268438,Non-coding/other,4,676.0,35.44,26.29,7.82,4,2,0.51,0.49,FAIL
LOC112577516,Non-coding/other,4,414.0,98.96,109.5,32.41,1,0,0.99,0.01,OK
LOC112577592,Non-coding/other,1,453.0,162.06,162.06,162.06,0,0,1.0,0.0,OK
LOC112694756,Non-coding/other,5,762.0,86.33,75.47,43.35,0,0,1.0,0.0,OK
LOC118142757,Non-coding/other,1,24.0,98.59,98.59,98.59,0,0,1.0,0.0,OK
LOC122319696,Non-coding/other,2,285.0,124.18,124.18,100.65,0,0,1.0,0.0,OK
LOC122394732,Non-coding/other,1,234.0,198.71,198.71,198.71,0,0,1.0,0.0,OK
LOC122455338,Non-coding/other,1,549.0,63.29,63.29,63.29,0,0,1.0,0.0,WARNING
LOC122455339,Non-coding/other,2,579.0,56.88,56.88,43.29,1,0,0.99,0.01,WARNING
LOC122455340,Non-coding/other,1,519.0,232.47,232.47,232.47,0,0,1.0,0.0,OK
